step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
670000,234,4.304,0.148,16.05,12919,6897,50,5987,5,264,409955.6,19634.3,0.043,0.022,0.469,0.000,0.466,7715,60.14,3.40,35.84,9.18,5.05,7.14,0.68,0.92,18.56,3.92,5.05,7.14,0.088,0.125,77,0.282,0.846,0.132,0.000,0.021,2881,1300,3,0.504,0.009
680000,269,3.877,0.136,13.93,12845,7642,27,5121,20,275,410563.0,14283.8,0.015,0.016,0.499,0.015,0.455,8503,51.09,4.91,32.97,5.84,1.84,5.14,0.24,1.03,16.04,4.13,1.83,5.14,0.032,0.088,89,0.149,0.918,0.059,0.000,0.022,3002,1470,3,0.747,0.000
690000,248,3.800,0.145,13.38,21050,6752,5,13960,354,438,410315.9,35204.5,0.007,0.016,0.479,0.069,0.429,5565,53.10,6.02,32.71,7.80,2.48,5.86,0.46,0.68,17.46,5.65,2.48,5.86,0.042,0.100,79,0.133,0.895,0.097,0.000,0.008,5988,4214,2,0.823,0.012
700000,304,3.277,0.138,13.45,22558,8035,17,13953,497,394,410208.4,28476.4,0.013,0.011,0.468,0.074,0.435,5724,39.83,20.44,19.43,15.36,6.14,10.21,0.07,0.41,14.18,6.13,4.50,7.69,0.122,0.209,86,0.240,0.730,0.227,0.000,0.043,7131,4848,2,0.352,0.395
710000,343,3.128,0.125,12.43,33201,9044,14,23145,959,642,410724.7,38069.0,0.014,0.013,0.386,0.054,0.533,3968,38.96,15.10,21.87,12.86,2.01,4.77,0.29,2.04,14.79,7.66,1.77,4.43,0.038,0.085,162,0.058,0.776,0.172,0.000,0.052,12842,9382,1,0.402,0.598
720000,240,4.386,0.195,15.15,26565,8447,4,17681,536,487,410127.4,36267.0,0.003,0.033,0.528,0.158,0.278,5210,61.86,3.52,35.18,4.53,5.64,6.84,0.95,2.19,20.09,5.56,5.55,6.74,0.088,0.107,107,0.092,0.804,0.179,0.000,0.017,8578,5732,1,0.829,0.171
730000,246,3.876,0.135,14.87,19629,8454,42,10687,440,323,410636.5,19867.8,0.012,0.017,0.370,0.114,0.486,6063,54.06,4.86,34.44,6.02,1.11,3.89,1.69,2.13,16.81,6.22,1.08,3.84,0.018,0.061,115,0.163,0.935,0.053,0.000,0.012,6781,4798,2,0.951,0.000
740000,279,3.402,0.123,15.06,12643,7873,69,4565,103,63,410299.4,10828.4,0.008,0.002,0.417,0.200,0.372,8670,49.07,4.72,30.08,6.22,0.52,1.77,1.59,2.23,16.89,5.22,0.44,1.38,0.010,0.031,135,0.057,0.943,0.036,0.000,0.022,3523,2016,1,1.000,0.000
750000,318,3.352,0.116,14.67,13672,8490,53,5076,14,175,409874.3,12824.7,0.006,0.004,0.388,0.183,0.419,8260,42.83,9.97,26.51,6.42,2.10,5.37,0.74,1.53,13.48,4.65,1.62,4.06,0.036,0.087,125,0.160,0.865,0.107,0.000,0.028,3923,1716,1,0.538,0.462
760000,264,3.818,0.152,13.62,12907,7424,75,5434,28,87,409957.7,14830.3,0.003,0.003,0.371,0.197,0.426,9350,51.85,4.29,35.42,4.59,1.41,4.79,0.36,1.02,14.67,3.48,1.29,4.35,0.023,0.075,91,0.155,0.905,0.080,0.000,0.015,3516,1722,1,0.777,0.223
