step,cause,age,size,mass,n,worn
10000,hunger,100,20,40,559,2
10000,hunger,100,20,44,138,1
10000,hunger,100,20,48,6,0
10000,hunger,100,20,52,4,0
10000,hunger,100,20,56,1,0
10000,hunger,100,20,60,1,0
10000,hunger,100,20,68,2,0
10000,hunger,100,24,12,1,0
10000,hunger,100,24,16,13,0
10000,hunger,100,24,20,46,0
10000,hunger,100,24,24,106,0
10000,hunger,100,24,28,69,1
10000,hunger,100,24,32,87,0
10000,hunger,100,24,36,227,1
10000,hunger,100,24,40,248,0
10000,hunger,100,24,44,524,4
10000,hunger,100,24,48,1686,5
10000,hunger,100,24,52,49,0
10000,hunger,100,24,56,8,0
10000,hunger,100,24,60,7,0
10000,hunger,100,24,64,3,0
10000,hunger,100,24,68,4,0
10000,hunger,100,24,72,3,0
10000,hunger,100,24,84,1,0
10000,hunger,100,28,16,1,0
10000,hunger,100,28,20,8,0
10000,hunger,100,28,24,21,0
10000,hunger,100,28,28,52,0
10000,hunger,100,28,32,48,1
10000,hunger,100,28,36,77,0
10000,hunger,100,28,40,110,0
10000,hunger,100,28,44,50,0
10000,hunger,100,28,48,52,0
10000,hunger,100,28,52,94,1
10000,hunger,100,28,56,71,0
10000,hunger,100,28,60,17,0
10000,hunger,100,28,64,1,0
10000,hunger,100,28,68,2,0
10000,hunger,100,28,72,2,0
10000,hunger,100,28,76,1,0
10000,hunger,100,28,88,1,0
10000,hunger,100,32,20,4,0
10000,hunger,100,32,24,16,0
10000,hunger,100,32,28,30,1
10000,hunger,100,32,32,37,0
10000,hunger,100,32,36,127,0
10000,hunger,100,32,40,65,1
10000,hunger,100,32,44,42,0
10000,hunger,100,32,48,32,0
10000,hunger,100,32,52,29,0
10000,hunger,100,32,56,49,0
10000,hunger,100,32,60,65,0
10000,hunger,100,32,64,88,1
10000,hunger,100,32,68,13,0
10000,hunger,100,32,76,1,0
10000,hunger,100,32,80,1,0
10000,hunger,100,32,84,1,0
10000,hunger,100,36,20,1,0
10000,hunger,100,36,24,8,0
10000,hunger,100,36,28,41,0
10000,hunger,100,36,32,106,1
10000,hunger,100,36,36,196,0
10000,hunger,100,36,40,162,1
10000,hunger,100,36,44,59,0
10000,hunger,100,36,48,60,0
10000,hunger,100,36,52,75,0
10000,hunger,100,36,56,89,0
10000,hunger,100,36,60,90,0
10000,hunger,100,36,64,144,0
10000,hunger,100,36,68,294,2
10000,hunger,100,36,72,17,0
10000,hunger,100,36,76,2,0
10000,hunger,100,36,80,3,0
10000,hunger,100,36,84,4,0
10000,hunger,100,36,88,2,0
10000,hunger,100,36,92,1,0
