step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
6000,-20,0,1129,91.3733,115.68,16.82,62.91,2,33.28,13.797,4.074,0.1932,217.533
6000,-20,1,1304,128.5885,87.64,608.90,40.82,21,30.24,12.329,5.205,0.3074,297.931
6000,-20,2,5786,413.7736,182.47,25948.53,28.55,566,18.64,7.453,10.173,0.8163,389.737
6000,-10,0,1604,150.8957,182.78,29.12,58.42,11,36.66,16.115,3.441,0.2105,329.539
6000,-10,1,935,125.5303,128.81,414.91,31.17,22,33.30,14.348,4.512,0.2655,394.338
6000,-10,2,5685,571.4071,299.74,27644.42,29.34,745,20.17,8.548,9.975,0.8071,508.194
6000,0,0,1659,243.5820,309.04,25.41,63.58,6,38.53,17.316,3.039,0.1522,303.886
6000,0,1,963,164.9003,145.16,439.67,36.49,21,35.07,15.432,4.076,0.2422,433.963
6000,0,2,5745,489.4652,226.21,27850.13,30.21,662,20.74,8.951,9.897,0.7886,554.326
6000,10,0,2888,298.4027,337.41,38.89,66.52,21,37.32,16.489,3.283,0.1247,223.164
6000,10,1,1318,301.2618,256.71,591.04,40.91,75,34.18,14.792,4.245,0.2500,400.172
6000,10,2,5239,733.0536,443.27,21413.73,16.92,543,20.01,8.574,10.167,0.7255,479.478
6000,20,0,3364,205.2412,136.82,40.15,54.85,43,32.64,13.608,4.446,0.1129,130.857
6000,20,1,1491,297.5466,251.61,704.71,26.76,68,28.98,11.822,5.751,0.3075,313.970
6000,20,2,3590,633.3390,412.86,12207.00,11.10,385,18.91,7.657,10.197,0.7037,384.622
6000,30,0,4767,255.9704,205.90,73.41,27.53,119,25.98,9.660,6.204,0.1411,98.351
6000,30,1,2026,283.3472,170.12,825.73,11.09,120,25.00,9.100,6.447,0.3529,219.598
6000,30,2,2481,377.4590,195.89,7466.97,27.44,207,18.32,6.467,9.500,0.7567,305.389
6000,40,0,4988,221.3644,212.31,58.06,9.12,83,18.56,5.603,8.361,0.1391,51.150
6000,40,1,1468,173.8381,83.81,615.46,11.99,81,21.23,6.440,6.967,0.4324,162.856
6000,40,2,1714,188.6429,111.51,4577.97,32.34,76,14.52,3.999,10.156,0.8528,194.953
6000,50,0,4773,209.3326,223.96,25.01,-2.68,31,10.45,2.075,11.275,0.1203,21.367
