step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,4,4,0,0,0,4,0,1.00,24,0.000,1992,0.96,122.47,0.00,29,8,8
100000,3,5,0,0,0,3,0,1.00,24,0.000,1989,1.03,116.93,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1989,0.99,92.65,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1986,2.03,176.17,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1983,2.05,145.60,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1983,1.03,99.06,0.00,146,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1983,2.19,118.62,0.00,101,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,1978,2.36,171.47,0.00,147,8,8
100000,58,64,42,14,0,2,4,10.91,0,0.241,1968,3.21,100.22,445.66,198,1,1
100000,4,4,0,0,0,4,0,1.00,22,0.000,1967,2.29,108.73,0.00,147,8,8
100000,7,9,0,0,0,7,0,1.00,16,0.000,1966,1.97,113.97,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1963,1.58,96.88,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1963,2.34,103.42,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1953,1.41,116.48,0.00,101,8,8
100000,2,16,0,0,0,2,0,1.00,26,0.000,1943,0.84,86.40,0.00,60,1,1
100000,3,3,0,0,0,3,0,1.00,24,0.000,1941,1.49,96.17,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1935,1.60,113.23,0.00,101,8,8
100000,2,17,0,0,0,2,0,1.00,26,0.000,1935,2.10,80.95,0.00,60,1,1
100000,5,5,0,0,0,5,0,1.00,20,0.000,1934,1.15,182.71,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1931,1.59,114.09,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1931,1.80,115.37,0.00,101,8,8
100000,2,16,0,0,0,2,0,1.00,26,0.000,1930,2.02,86.03,0.00,60,1,1
100000,4,4,0,0,0,4,0,1.00,22,0.000,1925,1.64,150.48,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1917,1.92,148.53,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,1917,1.86,133.14,0.00,29,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1917,1.77,114.18,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1914,1.77,114.15,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1913,2.13,105.88,0.00,101,8,8
100000,6,6,1,0,0,5,0,1.40,22,0.000,1913,2.57,119.21,0.00,233,8,8
100000,11,11,0,0,0,11,0,1.00,10,0.000,1907,2.83,170.05,0.00,101,8,8
100000,14,14,0,0,0,14,0,1.00,10,0.000,1906,2.20,159.20,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1903,1.18,120.07,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1893,1.56,148.27,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1892,1.56,123.94,0.00,147,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,1889,2.11,113.64,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1885,2.08,139.77,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,1881,2.15,135.25,0.00,29,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1877,0.49,71.88,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1876,0.85,112.44,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1876,1.88,161.44,0.00,147,8,8
100000,2,6,0,0,0,2,0,1.00,26,0.000,1874,1.57,80.41,0.00,60,1,1
100000,9,9,0,0,0,9,0,1.00,14,0.000,1873,2.49,161.93,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1869,1.07,148.06,0.00,147,8,8
100000,2,10,0,0,0,2,0,1.00,26,0.000,1868,1.08,85.08,0.00,60,1,1
100000,2,2,0,0,0,2,0,1.00,26,0.000,1865,1.15,74.11,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1860,1.72,92.63,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1858,2.26,106.15,0.00,101,8,8
100000,2,16,0,0,0,2,0,1.00,26,0.000,1858,1.71,81.72,0.00,60,1,1
100000,5,5,0,0,0,5,0,1.00,20,0.000,1855,1.77,177.17,0.00,147,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,1854,2.68,110.50,0.00,147,8,8
100000,2,16,0,0,0,2,0,1.00,26,0.000,1853,0.86,81.78,0.00,60,1,1
100000,2,2,0,0,0,2,0,1.00,26,0.000,1844,1.41,73.72,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1835,1.89,98.87,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,1835,1.25,168.15,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,1826,1.08,105.95,0.00,146,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,1825,2.31,117.61,0.00,147,8,8
