step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,10,10,0,0,0,10,0,1.00,12,0.000,956,2.62,32.43,67.63,35,0,0,0,1.00,1.00,1.00,3,2,8,19.1,24.856
100000,10,10,0,0,0,10,0,1.00,12,0.000,936,1.63,160.78,19.86,35,0,0,0,1.00,1.00,1.00,3,2,8,8.3,24.336
100000,8,8,0,0,0,8,0,1.00,16,0.000,932,0.32,40.72,19.92,35,0,0,0,1.00,1.00,1.00,5,2,8,7.4,22.368
100000,15,15,0,0,0,15,0,1.00,10,0.000,929,2.62,60.96,26.79,268,0,0,0,1.00,1.00,1.00,4,3,8,10.0,28.799
100000,8,8,0,0,0,8,0,1.00,16,0.000,923,1.35,32.19,28.03,35,2,2,0,1.00,1.00,1.00,3,2,8,42.8,22.152
100000,8,8,0,0,0,8,0,1.00,16,0.000,921,1.94,44.07,14.61,35,2,1,0,1.00,1.00,1.00,3,2,8,38.5,22.104
100000,8,8,0,0,0,8,0,1.00,16,0.000,906,1.65,79.72,28.27,35,0,0,0,1.00,1.00,1.00,3,2,8,4.8,21.744
100000,9,9,0,0,0,9,0,1.00,16,0.000,895,1.37,35.78,33.64,222,1,1,0,1.00,1.00,1.00,3,2,6,31.5,22.375
100000,9,9,0,0,0,9,0,1.00,16,0.000,894,1.37,42.78,15.21,222,2,2,0,1.00,1.00,1.00,4,2,6,53.5,22.350
100000,8,8,0,0,0,8,0,1.00,16,0.000,892,1.91,35.38,17.01,35,2,2,0,1.00,1.00,1.00,3,2,8,49.7,21.408
100000,12,12,0,0,0,12,0,1.00,10,0.000,890,2.82,107.52,23.11,35,0,0,0,1.00,1.00,1.00,5,3,8,11.3,24.920
100000,14,14,0,0,0,14,0,1.00,10,0.000,885,3.30,65.35,14.94,35,1,2,0,1.00,1.00,1.00,3,3,8,28.5,26.550
100000,10,10,0,0,0,10,0,1.00,12,0.000,882,2.18,55.73,15.85,35,0,0,0,1.00,1.00,1.00,3,2,8,18.7,22.932
100000,8,8,0,0,0,8,0,1.00,16,0.000,880,1.94,40.60,22.19,35,0,0,0,1.00,1.00,1.00,5,2,8,21.6,21.120
100000,10,10,0,0,0,10,0,1.00,12,0.000,879,1.30,57.31,25.17,35,0,0,0,1.00,1.00,1.00,3,2,8,16.3,22.854
100000,14,14,0,0,0,14,0,1.00,10,0.000,878,2.40,74.16,101.76,35,0,0,0,1.00,1.00,1.00,3,3,8,3.8,26.340
100000,4,4,1,0,0,3,0,1.67,20,0.000,865,0.84,16.30,27.28,35,0,0,0,2.00,2.00,1.50,2,6,8,19.5,17.300
100000,8,8,0,0,0,8,0,1.00,16,0.000,860,2.60,77.94,10.14,35,0,0,0,1.00,1.00,1.00,2,2,8,22.4,20.640
100000,10,10,0,0,0,10,0,1.00,12,0.000,856,2.88,38.88,55.92,35,0,0,0,1.00,1.00,1.00,3,2,8,12.6,22.256
