step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,3.93,18,0,0,0,4,0,1.00,28,0.000,1357,0.76,96.60,6.71,629,0,0,0,1.00,1.00,1.00,1,2,2,20.7,10.767,4,0.982,0.517,9,0.941
100000,1.09,16,0,0,0,1,0,1.00,28,0.000,1339,0.00,28.47,21.19,694,0,0,0,1.00,1.00,1.00,1,1,1,16.0,5.458,1,1.092,0.410,8,1.000
100000,28.00,16,1,8,0,4,0,1.00,0,0.286,1337,3.35,97.05,19.28,481,0,0,0,1.00,1.00,1.00,3,4,4,22.3,77.526,13,2.000,0.082,4,1.000
100000,34.00,16,1,11,0,4,0,1.00,0,0.324,1331,4.10,74.43,13.57,481,0,0,0,1.00,1.00,1.00,2,4,4,24.4,59.418,16,2.000,0.082,4,1.000
100000,40.00,25,0,18,0,2,0,1.00,2,0.450,1320,0.00,52.53,31.77,682,0,1,0,1.00,1.00,1.00,2,5,4,22.5,24.048,20,2.000,0.113,5,1.000
100000,4.00,25,0,0,0,2,0,1.00,14,0.000,1312,1.61,35.97,13.15,682,0,0,0,1.00,1.00,1.00,1,3,1,10.4,20.000,2,2.000,0.355,5,1.000
100000,28.00,25,0,6,0,8,0,1.00,0,0.214,1296,3.70,182.66,72.97,682,0,2,0,1.00,1.00,1.00,3,5,5,11.3,65.747,14,2.000,0.181,5,1.000
100000,6.06,18,0,0,0,7,0,1.00,24,0.000,1296,0.01,59.28,15.40,629,0,0,0,1.00,1.00,1.00,2,2,4,24.1,4.088,7,0.866,0.380,9,0.990
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,1293,0.00,1.87,11.75,481,0,1,0,1.00,1.00,1.00,3,4,4,18.8,0.000,11,2.000,0.127,4,1.000
100000,11.99,18,2,0,0,9,0,1.72,22,0.000,1291,1.58,55.46,14.60,629,0,0,0,1.00,2.00,2.00,2,4,5,16.2,21.328,11,0.923,0.390,10,1.000
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,1286,0.00,24.02,135.18,481,1,0,0,1.00,1.00,1.00,2,4,4,34.0,0.016,14,2.000,0.140,4,1.000
100000,4.23,10,0,0,0,4,0,1.00,22,0.000,1282,0.00,57.01,4.42,299,0,1,0,1.00,1.00,1.00,2,2,3,19.2,9.487,4,1.057,0.490,8,0.836
100000,10.29,12,0,0,0,9,0,1.00,18,0.000,1258,0.00,20.45,0.81,299,0,0,0,1.00,1.00,1.00,2,5,2,5.9,0.008,9,1.143,0.424,8,1.000
100000,18.00,16,0,3,0,6,0,1.00,4,0.167,1254,0.00,56.02,129.76,682,0,0,0,1.00,1.00,1.00,1,3,3,11.3,46.302,9,2.000,0.336,4,1.000
100000,46.00,25,0,6,0,17,0,1.00,0,0.130,1248,0.00,91.01,53.46,682,0,0,0,1.00,1.00,1.00,4,5,5,13.8,24.620,23,2.000,0.127,5,1.000
100000,3.52,10,0,0,0,4,0,1.00,28,0.000,1236,0.31,69.45,4.50,629,2,0,0,1.00,1.00,1.00,2,2,3,41.5,17.466,4,0.880,0.412,9,0.086
100000,10.85,11,0,0,0,11,0,1.00,28,0.000,1234,-0.00,113.65,2.77,683,0,0,0,1.00,1.00,1.00,2,2,6,17.5,39.624,11,0.986,0.353,11,1.000
100000,28.00,25,4,4,0,2,0,2.19,4,0.143,1230,1.48,31.95,148.18,682,0,1,2,1.00,3.50,2.12,2,4,4,22.4,20.480,10,2.000,0.189,5,1.000
100000,4.42,23,0,0,0,4,0,1.00,30,0.000,1229,-0.00,102.27,12.59,694,1,1,0,1.00,1.00,1.00,2,1,4,37.2,14.434,4,1.105,0.482,10,1.000
