gx,gy,land,dry,temp,predicted,region
26,15,64,0.625,30.54,0.03224,8
27,15,64,0.6526,30.67,0.03285,8
28,15,64,0.6767,30.74,0.03285,8
29,15,64,0.7184,31.24,0.02109,0
30,15,64,0.7526,31.57,0.01456,0
31,15,64,0.7721,31.53,0.01456,0
32,15,64,0.7831,31.34,0.01456,0
33,15,64,0.7833,30.78,0.01456,0
34,15,64,0.7894,30.39,0.01456,0
35,15,64,0.8014,30.13,0.0092,0
36,15,64,0.8295,30.7,0.0092,0
37,15,64,0.8517,31.27,0.0092,0
38,15,53,0.8695,32.15,0.0092,0
39,15,2,0.8012,33.05,0.0,0
49,15,12,0.4744,33.66,0.0,0
50,15,63,0.4927,31.82,0.05985,10
51,15,64,0.5238,30.78,0.04373,10
52,15,64,0.5286,30.25,0.04373,10
53,15,64,0.5292,30.2,0.04373,10
54,15,64,0.5187,29.51,0.05523,10
55,15,64,0.6101,30.38,0.03224,10
56,15,64,0.6851,31.38,0.03285,10
57,15,45,0.7057,31.95,0.02109,0
60,15,26,0.487,32.19,0.0,0
61,15,64,0.5807,31.82,0.04111,11
62,15,51,0.634,32.32,0.03224,11
63,15,1,0.4603,34.42,0.0,0
0,16,55,0.6285,29.4,0.04183,11
1,16,64,0.6405,29.24,0.04183,11
2,16,8,0.6614,29.45,0.0,0
19,16,2,0.4243,31.42,0.0,0
20,16,7,0.4443,31.1,0.0,0
21,16,23,0.4592,30.61,0.0,0
22,16,41,0.4405,29.45,0.06185,8
23,16,64,0.4573,28.07,0.06185,8
24,16,64,0.4924,27.77,0.06185,8
25,16,64,0.5389,28.17,0.05523,8
26,16,64,0.5558,28.09,0.04949,8
27,16,64,0.5732,27.76,0.04949,8
28,16,64,0.6047,27.62,0.04183,8
29,16,64,0.6432,27.72,0.04183,8
30,16,64,0.6848,28.07,0.03484,8
31,16,64,0.712,28.2,0.02826,0
32,16,64,0.7247,27.99,0.02826,0
33,16,64,0.733,27.6,0.02826,0
34,16,64,0.739,27.01,0.02826,0
35,16,64,0.7532,26.69,0.02265,0
36,16,64,0.7895,27.36,0.02265,0
37,16,64,0.8159,27.97,0.01192,0
38,16,61,0.8359,29.29,0.01192,0
39,16,9,0.762,30.51,0.0,0
49,16,9,0.4422,29.66,0.0,0
50,16,62,0.5188,28.88,0.05523,10
51,16,64,0.5816,28.0,0.04949,10
52,16,64,0.5711,27.56,0.04949,10
53,16,64,0.5123,27.14,0.05523,10
54,16,64,0.4959,26.81,0.06185,10
55,16,64,0.5883,27.57,0.04949,10
56,16,64,0.6542,28.25,0.03484,10
57,16,62,0.6816,29.08,0.03484,10
60,16,55,0.5024,29.38,0.05523,11
61,16,64,0.6026,28.72,0.04183,11
62,16,61,0.6554,28.85,0.03484,11
63,16,44,0.6765,29.02,0.03484,11
0,17,64,0.5585,25.0,0.0508,11
1,17,64,0.6307,25.58,0.04183,11
2,17,19,0.6677,26.7,0.0,0
22,17,1,0.3837,29.11,0.0,0
23,17,35,0.4352,26.65,0.06185,8
24,17,64,0.5102,25.54,0.05523,8
25,17,64,0.5393,25.42,0.05523,8
26,17,64,0.4706,24.53,0.06721,8
27,17,64,0.4847,24.2,0.06721,8
28,17,64,0.5108,23.64,0.05425,8
29,17,64,0.5476,23.69,0.05425,8
30,17,64,0.5941,24.32,0.0508,8
31,17,64,0.6342,24.73,0.04431,8
32,17,64,0.6641,24.79,0.03598,8
33,17,64,0.6687,24.11,0.03598,8
34,17,64,0.6853,23.72,0.03598,8
35,17,64,0.7038,23.49,0.03142,8
36,17,64,0.7365,23.93,0.03142,8
37,17,64,0.771,24.69,0.02636,0
38,17,52,0.8088,25.96,0.01192,0
39,17,16,0.7875,25.68,0.0,0
49,17,1,0.3849,29.29,0.0,0
50,17,49,0.4658,26.62,0.06185,10
51,17,58,0.515,25.93,0.05523,10
52,17,64,0.5256,25.23,0.05523,10
53,17,64,0.5156,24.82,0.05425,10
54,17,64,0.5255,25.17,0.05523,10
55,17,64,0.5703,25.26,0.04949,10
56,17,64,0.6203,25.68,0.04183,10
57,17,42,0.5864,27.02,0.04949,10
58,17,3,0.4367,28.56,0.0,0
60,17,45,0.4924,26.34,0.06185,11
61,17,64,0.6125,25.48,0.04183,11
62,17,64,0.6399,25.06,0.04183,11
63,17,64,0.5987,25.06,0.04949,11
0,18,64,0.4897,20.57,0.06721,11
1,18,64,0.6125,21.56,0.04431,11
2,18,46,0.6819,22.26,0.03598,11
3,18,5,0.6695,22.48,0.0,0
18,18,1,0.3408,24.44,0.0,0
19,18,57,0.5231,22.37,0.05425,0
20,18,26,0.6769,22.6,0.0,0
23,18,6,0.4031,23.76,0.0,0
24,18,56,0.4782,23.05,0.06721,8
25,18,64,0.5602,22.02,0.0508,8
26,18,64,0.4968,21.04,0.06721,8
27,18,64,0.4505,20.9,0.06721,8
28,18,64,0.4678,20.36,0.06721,8
29,18,64,0.4967,20.33,0.06721,8
30,18,64,0.5046,20.57,0.05425,8
31,18,64,0.5445,20.91,0.05425,8
32,18,64,0.5817,20.85,0.0508,8
33,18,64,0.5981,20.44,0.0508,8
34,18,64,0.5955,19.69,0.04594,8
35,18,64,0.6249,19.67,0.03871,8
36,18,64,0.6718,20.36,0.03598,8
