step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,28.36,18,0,0,0,18,0,1.00,4,0.000,975,3.77,78.51,49.83,95,0,0,0,1.00,1.00,1.00,8,8,8,14.0,66.300,18,1.576,0.628
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,973,3.83,72.94,47.59,95,0,0,0,1.00,1.00,1.00,8,8,8,8.1,70.056,20,1.567,0.588
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,966,0.37,45.84,32.00,95,1,1,0,1.00,1.00,1.00,5,8,8,28.1,57.960,14,1.466,0.470
100000,28.36,18,0,0,0,18,0,1.00,4,0.000,962,2.78,103.81,46.26,95,0,0,0,1.00,1.00,1.00,7,8,8,14.2,65.416,18,1.576,0.628
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,957,1.94,55.45,48.90,95,2,1,0,1.00,1.00,1.00,8,8,8,38.3,68.904,20,1.567,0.588
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,952,3.67,86.53,59.18,95,0,0,0,1.00,1.00,1.00,8,8,8,24.2,68.544,20,1.416,0.521
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,940,2.86,64.92,28.78,95,1,1,0,1.00,1.00,1.00,7,8,8,30.3,56.400,14,1.466,0.470
100000,21.73,13,0,0,0,13,0,1.00,8,0.000,939,2.18,55.39,14.20,95,0,0,0,1.00,1.00,1.00,5,8,8,21.9,54.462,13,1.671,0.515
100000,29.12,26,0,0,0,26,0,1.00,0,0.000,937,3.78,98.84,32.35,95,0,0,0,1.00,1.00,1.00,9,8,8,22.7,78.708,26,1.120,0.461
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,934,3.98,79.86,56.31,95,1,1,0,1.00,1.00,1.00,6,8,8,34.1,67.248,20,1.567,0.588
100000,32.53,19,0,0,0,19,0,1.00,6,0.000,933,4.61,82.41,19.75,95,1,1,0,1.00,1.00,1.00,8,8,8,27.1,65.310,19,1.712,0.515
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,925,3.37,127.99,89.12,95,0,0,0,1.00,1.00,1.00,8,8,8,22.0,66.600,20,1.567,0.588
100000,47.82,32,0,0,0,32,0,1.00,0,0.000,917,1.68,138.44,64.66,95,1,1,0,1.00,1.00,1.00,8,8,8,34.3,88.032,32,1.494,0.540
100000,17.92,29,0,3,0,15,0,1.00,6,0.167,915,3.33,132.50,21.33,310,1,0,0,1.00,1.00,1.00,6,8,8,26.0,57.652,18,0.995,0.377
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,911,1.08,107.15,43.93,95,0,0,0,1.00,1.00,1.00,8,8,8,15.9,65.592,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,886,4.47,109.61,48.45,95,0,0,0,1.00,1.00,1.00,8,8,8,5.8,63.792,20,1.567,0.588
100000,6.27,4,0,0,0,4,0,1.00,24,0.000,881,1.55,29.48,12.76,95,0,0,0,1.00,1.00,1.00,4,8,8,22.3,35.240,4,1.567,0.588
100000,16.64,10,0,0,0,10,0,1.00,12,0.000,879,1.37,27.86,23.35,95,0,0,0,1.00,1.00,1.00,4,8,8,18.7,45.708,10,1.664,0.526
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,871,4.70,84.23,15.14,95,0,0,0,1.00,1.00,1.00,8,8,8,3.6,62.712,20,1.567,0.588
100000,16.95,12,0,0,0,12,0,1.00,16,0.000,863,2.82,25.83,36.42,95,1,1,0,1.00,1.00,1.00,8,8,8,30.5,48.328,12,1.413,0.565
100000,18.87,19,0,4,0,13,0,1.00,6,0.212,861,2.51,73.56,39.33,310,1,0,0,1.00,1.00,1.00,4,5,8,25.6,54.381,17,1.110,0.457
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,852,3.24,65.51,49.57,95,0,0,0,1.00,1.00,1.00,8,8,8,23.3,61.344,20,1.416,0.521
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,850,4.53,122.21,40.94,95,0,1,0,1.00,1.00,1.00,8,8,8,23.4,61.200,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,847,2.84,32.68,40.39,95,1,1,0,1.00,1.00,1.00,6,8,8,30.0,60.984,20,1.567,0.588
