step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1939,0.00,65.15,81.34,949,2,2,0,1.00,1.00,1.00,4,4,4,39.5,51.519,15,2.000,0.000,4,1.000,1,62.37,13.00,0,0.0929,0.011,0.4734
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1938,0.00,39.62,47.76,949,0,0,0,1.00,1.00,1.00,4,4,4,20.4,14.584,15,2.000,0.000,4,1.000,1,5.81,-2.50,0,0.0925,0.017,0.4511
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,1937,0.00,40.99,159.67,949,0,0,0,1.00,1.00,1.00,4,4,4,12.7,37.904,12,2.000,0.000,4,1.000,0,46.19,39.00,0,0.0925,0.017,0.5323
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1908,0.00,67.64,40.41,949,0,0,0,1.00,1.00,1.00,4,4,4,23.8,44.196,15,2.000,0.000,4,1.000,1,50.65,13.75,0,0.0929,0.008,0.5064
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1908,0.00,61.33,88.88,949,0,0,0,1.00,1.00,1.00,4,4,4,15.8,66.129,16,2.000,0.000,4,1.000,0,12.55,12.25,0,0.0925,0.017,0.5327
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,1904,4.62,51.05,89.64,949,2,0,0,1.00,1.00,1.00,4,4,4,41.0,43.082,16,2.000,0.000,4,1.000,0,54.76,-0.75,0,0.0925,0.012,0.4686
100000,26.00,16,0,9,0,4,0,1.00,0,0.346,1901,0.00,33.55,102.66,949,0,1,0,1.00,1.00,1.00,2,4,4,21.1,20.695,13,2.000,0.000,4,1.000,3,64.95,-63.25,0,0.0925,0.012,0.5144
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1897,4.41,64.67,118.77,1239,2,0,0,1.00,1.00,1.00,4,4,4,39.3,51.394,16,2.000,0.000,4,1.000,0,59.35,3.50,0,0.0972,0.017,0.4878
100000,20.00,16,0,9,0,1,0,1.00,0,0.450,1879,1.38,41.49,60.86,949,0,0,0,1.00,1.00,1.00,4,4,4,17.7,13.070,10,2.000,0.000,4,1.000,3,16.76,16.00,0,0.0925,0.012,0.4904
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,1862,0.00,29.20,106.54,949,1,2,0,1.00,1.00,1.00,2,4,4,32.7,29.279,16,2.000,0.000,4,1.000,0,13.27,-0.75,0,0.0920,0.009,0.4983
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,1857,0.00,40.26,54.90,949,0,0,0,1.00,1.00,1.00,2,4,4,11.4,1.194,15,2.000,0.000,4,1.000,1,17.04,-4.25,0,0.0943,0.196,0.2961
